135|7|false|135
490|2|false|490
272|1|false|272
138|3|true|138
260|5|true|260
600|6|false|600
7500|0|false|7500
178|8|true|178
46|1|false|46
150|4|true|150
212|6|true|212
199|0|false|199
0|0|true|0
229|1|false|229
850|1|false|850
140|1|true|140
920|1|false|920
800|1|false|800
143|1|true|143
226|1|false|226
251|1|false|251
231|1|false|231
516|1|false|516
710|0|false|710
200|6|false|200
185|5|true|185
266|7|false|266
233|6|false|233
502|9|true|502
219|10|true|219
1000|10|false|1000
360|0|false|360
956|11|true|956
511|0|false|511
246|7|false|246
186|7|true|186
425|1|false|425
713|7|false|713
167|2|false|167
770|7|false|770
200|1|true|200
178|1|false|178
2112|8|false|2112
